timestamp_scrape,percentage,location_name,last_count,updated,open_boolean
2023-07-19 20:01:25.036751-04:00,78.888888888889,Marino Center - 3rd Floor Select & Cardio,71,07/19/2023 07:29 PM,True
2023-07-19 20:01:25.036945-04:00,100,SquashBusters - 4th Floor,66,07/19/2023 07:48 PM,True
2023-07-19 20:21:43.261835-04:00,56.190476190476,Marino Center - 2nd Floor,59,07/19/2023 07:57 PM,True
2023-07-19 20:21:43.262078-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 20:21:43.262295-04:00,100,Marino Center - 3rd Floor Weight Room,65,07/19/2023 08:01 PM,True
2023-07-19 20:21:43.262492-04:00,76.666666666667,Marino Center - 3rd Floor Select & Cardio,69,07/19/2023 08:01 PM,True
2023-07-19 20:21:43.262704-04:00,100,SquashBusters - 4th Floor,66,07/19/2023 07:48 PM,True
2023-07-19 20:34:18.110537-04:00,51.428571428571,Marino Center - 2nd Floor,54,07/19/2023 08:28 PM,True
2023-07-19 20:34:18.110802-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 20:34:18.111015-04:00,95.384615384615,Marino Center - 3rd Floor Weight Room,62,07/19/2023 08:30 PM,True
2023-07-19 20:34:18.111226-04:00,67.777777777778,Marino Center - 3rd Floor Select & Cardio,61,07/19/2023 08:30 PM,True
2023-07-19 20:34:18.111440-04:00,85,SquashBusters - 4th Floor,51,07/19/2023 08:30 PM,True
2023-07-19 21:52:34.542092-04:00,28.571428571429,Marino Center - 2nd Floor,30,07/19/2023 09:22 PM,True
2023-07-19 21:52:34.542323-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 21:52:34.542508-04:00,49.230769230769,Marino Center - 3rd Floor Weight Room,32,07/19/2023 09:28 PM,True
2023-07-19 21:52:34.542694-04:00,50,Marino Center - 3rd Floor Select & Cardio,45,07/19/2023 09:28 PM,True
2023-07-19 21:52:34.542872-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-19 22:26:45.993409-04:00,30.47619047619,Marino Center - 2nd Floor,32,07/19/2023 10:24 PM,True
2023-07-19 22:26:45.993656-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 22:26:45.993856-04:00,46.153846153846,Marino Center - 3rd Floor Weight Room,30,07/19/2023 09:58 PM,True
2023-07-19 22:26:45.994053-04:00,42.222222222222,Marino Center - 3rd Floor Select & Cardio,38,07/19/2023 09:58 PM,True
2023-07-19 22:26:45.994244-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-19 22:43:02.947958-04:00,20.952380952381,Marino Center - 2nd Floor,22,07/19/2023 10:33 PM,True
2023-07-19 22:43:02.948187-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 22:43:02.948379-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-19 22:43:02.948636-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-19 22:43:02.948819-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-19 22:48:56.297161-04:00,20.952380952381,Marino Center - 2nd Floor,22,07/19/2023 10:33 PM,True
2023-07-19 22:48:56.297378-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 22:48:56.297553-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-19 22:48:56.297725-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-19 22:48:56.297891-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-19 23:05:34.161024-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-19 23:05:34.161237-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-19 23:05:34.161415-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-19 23:05:34.161589-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-19 23:05:34.161758-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
